,Sentence #,Word,Tag
34,2,For,O
35,2,although,O
36,2,the,O
37,2,Chinese,O
38,2,took,O
39,2,impressions,O
40,2,from,O
41,2,wood,O
42,2,blocks,O
43,2,engraved,O
44,2,in,O
45,2,relief,O
46,2,for,O
47,2,centuries,O
48,2,before,O
49,2,the,O
50,2,woodcutters,O
51,2,of,O
52,2,the,O
53,2,Netherlands,LOC
54,2,",",O
55,2,by,O
56,2,a,O
57,2,similar,O
58,2,process,O
472,23,But,O
473,23,the,O
474,23,first,O
475,23,Bible,O
476,23,actually,O
477,23,dated,O
478,23,(,O
479,23,which,O
480,23,also,O
481,23,was,O
482,23,printed,O
483,23,at,O
484,23,Maintz,LOC
485,23,by,O
486,23,Peter,PER
487,23,Schoeffer,PER
488,23,in,O
489,23,the,O
490,23,year,O
491,23,1462,O
492,23,),O
537,26,especially,O
538,26,as,O
539,26,regards,O
540,26,the,O
541,26,lower,O
542,26,-,O
543,26,case,O
544,26,letters,O
546,26,and,O
547,26,type,O
548,26,very,O
549,26,similar,O
550,26,was,O
551,26,used,O
552,26,during,O
553,26,the,O
554,26,next,O
555,26,fifteen,O
556,26,or,O
557,26,twenty,O
558,26,years,O
559,26,not,O
560,26,only,O
561,26,by,O
562,26,Schoeffer,PER
563,26,",",O
564,27,but,O
565,27,by,O
566,27,printers,O
567,27,in,O
568,27,Strasburg,LOC
569,27,",",O
570,27,Basle,LOC
571,27,",",O
572,27,Paris,LOC
573,27,",",O
574,27,Lubeck,LOC
575,27,",",O
576,27,and,O
577,27,other,O
578,27,cities,O
579,27,.,O
580,28,But,O
581,28,though,O
582,28,on,O
583,28,the,O
584,28,whole,O
585,28,",",O
586,28,except,O
587,28,in,O
588,28,Italy,LOC
589,28,",",O
590,28,Gothic,O
591,28,letter,O
592,28,was,O
593,28,most,O
594,28,often,O
595,28,used,O
596,29,a,O
597,29,very,O
598,29,few,O
599,29,years,O
600,29,saw,O
601,29,the,O
602,29,birth,O
603,29,of,O
604,29,Roman,O
605,29,character,O
606,29,not,O
607,29,only,O
608,29,in,O
609,29,Italy,LOC
610,29,",",O
611,29,but,O
612,29,in,O
613,29,Germany,LOC
614,29,and,O
615,29,France,LOC
616,29,.,O
617,30,In,O
618,30,1465,O
619,30,Sweynheim,PER
620,30,and,O
621,30,Pannartz,PER
622,30,began,O
623,30,printing,O
624,30,in,O
625,30,the,O
626,30,monastery,O
627,30,of,O
628,30,Subiaco,LOC
629,30,near,O
630,30,Rome,LOC
631,30,",",O
671,33,They,O
672,33,printed,O
673,33,very,O
674,33,few,O
675,33,books,O
676,33,in,O
677,33,this,O
678,33,type,O
679,33,",",O
680,33,three,O
681,33,only,O
683,33,but,O
684,33,in,O
685,33,their,O
686,33,very,O
687,33,first,O
688,33,books,O
689,33,in,O
690,33,Rome,LOC
691,33,",",O
692,33,beginning,O
693,33,with,O
694,33,the,O
695,33,year,O
696,33,1468,O
697,33,",",O
712,35,But,O
713,35,about,O
714,35,the,O
715,35,same,O
716,35,year,O
717,35,Mentelin,PER
718,35,at,O
719,35,Strasburg,LOC
720,35,began,O
721,35,to,O
722,35,print,O
723,35,in,O
724,35,a,O
725,35,type,O
726,35,which,O
727,35,is,O
728,35,distinctly,O
729,35,Roman,O
731,36,and,O
732,36,the,O
733,36,next,O
734,36,year,O
735,36,Gunther,PER
736,36,Zeiner,PER
737,36,at,O
738,36,Augsburg,LOC
739,36,followed,O
740,36,suit,O
742,37,while,O
743,37,in,O
744,37,1470,O
745,37,at,O
746,37,Paris,LOC
747,37,Udalric,PER
748,37,Gering,PER
749,37,and,O
750,37,his,O
751,37,associates,O
752,37,turned,O
753,37,out,O
754,37,the,O
755,37,first,O
756,37,books,O
757,37,printed,O
758,37,in,O
759,37,France,LOC
760,37,",",O
761,37,also,O
762,37,in,O
763,37,Roman,O
764,37,character,O
765,37,.,O
800,40,It,O
801,40,must,O
802,40,be,O
803,40,said,O
804,40,that,O
805,40,it,O
806,40,is,O
807,40,in,O
808,40,no,O
809,40,way,O
810,40,like,O
811,40,the,O
812,40,transition,O
813,40,type,O
814,40,of,O
815,40,Subiaco,ORG
816,40,",",O
817,41,and,O
818,41,though,O
819,41,more,O
820,41,Roman,O
822,41,than,O
823,41,that,O
824,41,",",O
825,41,yet,O
826,41,scarcely,O
827,41,more,O
828,41,like,O
829,41,the,O
830,41,complete,O
831,41,Roman,O
832,41,Roman,O
833,41,type,O
834,41,of,O
835,41,the,O
836,41,earliest,O
837,41,printers,O
838,41,of,O
839,41,Rome,LOC
840,41,.,O
841,42,A,O
842,42,further,O
843,42,development,O
844,42,of,O
845,42,the,O
846,42,Roman,O
847,42,letter,O
848,42,took,O
849,42,place,O
850,42,at,O
851,42,Venice,LOC
852,42,.,O
853,43,John,PER
854,43,of,O
855,43,Spires,PER
856,43,and,O
857,43,his,O
858,43,brother,O
859,43,Vindelin,PER
860,43,",",O
861,43,followed,O
862,43,by,O
863,43,Nicholas,PER
864,43,Jenson,PER
865,43,",",O
866,43,began,O
867,43,to,O
868,43,print,O
869,43,in,O
870,43,that,O
871,43,city,O
872,43,",",O
895,46,Of,O
896,46,Jenson,PER
897,46,it,O
898,46,must,O
899,46,be,O
900,46,said,O
901,46,that,O
902,46,he,O
903,46,carried,O
904,46,the,O
905,46,development,O
906,46,of,O
907,46,Roman,O
908,46,type,O
909,46,as,O
910,46,far,O
911,46,as,O
912,46,it,O
913,46,can,O
914,46,go,O
915,46,:,O
935,48,After,O
936,48,his,O
937,48,death,O
938,48,in,O
939,48,the,O
940,48,"""",O
941,48,fourteen,O
942,48,eighties,O
943,48,",",O
944,48,"""",O
945,48,or,O
946,48,at,O
947,48,least,O
948,48,by,O
949,48,1490,O
950,48,",",O
951,48,printing,O
952,48,in,O
953,48,Venice,LOC
954,48,had,O
955,48,declined,O
956,48,very,O
957,48,much,O
959,49,and,O
960,49,though,O
961,49,the,O
962,49,famous,O
963,49,family,O
964,49,of,O
965,49,Aldus,PER
966,49,restored,O
967,49,its,O
968,49,technical,O
969,49,excellence,O
970,49,",",O
971,49,rejecting,O
972,49,battered,O
973,49,letters,O
974,49,",",O
991,51,yet,O
992,51,their,O
993,51,type,O
994,51,is,O
995,51,artistically,O
996,51,on,O
997,51,a,O
998,51,much,O
999,51,lower,O
1000,51,level,O
1001,51,than,O
1002,51,Jenson,PER
1003,51,',O
1004,51,s,O
1005,51,",",O
1006,51,and,O
1007,51,in,O
1008,51,fact,O
1009,52,they,O
1010,52,must,O
1011,52,be,O
1012,52,considered,O
1013,52,to,O
1014,52,have,O
1015,52,ended,O
1016,52,the,O
1017,52,age,O
1018,52,of,O
1019,52,fine,O
1020,52,printing,O
1021,52,in,O
1022,52,Italy,LOC
1023,52,.,O
1024,53,Jenson,PER
1025,53,",",O
1026,53,however,O
1027,53,",",O
1028,53,had,O
1029,53,many,O
1030,53,contemporaries,O
1031,53,who,O
1032,53,used,O
1033,53,beautiful,O
1034,53,type,O
1035,53,",",O
1036,54,some,O
1037,54,of,O
1038,54,which,O
1039,54,-,O
1040,54,-,O
1041,54,as,O
1042,54,",",O
1043,54,e,O
1044,54,.,O
1045,54,g,O
1046,54,.,O
1047,54,",",O
1048,54,that,O
1049,54,of,O
1050,54,Jacobus,PER
1051,54,Rubeus,PER
1052,54,or,O
1053,54,Jacques,PER
1054,54,le,PER
1055,54,Rouge,PER
1056,54,-,O
1057,54,-,O
1058,54,is,O
1059,54,scarcely,O
1060,54,distinguishable,O
1061,54,from,O
1062,54,his,O
1063,54,.,O
1064,55,It,O
1065,55,was,O
1066,55,these,O
1067,55,great,O
1068,55,Venetian,O
1069,55,printers,O
1070,55,",",O
1071,55,together,O
1072,55,with,O
1073,55,their,O
1074,55,brethren,O
1075,55,of,O
1076,55,Rome,LOC
1077,55,",",O
1078,55,Milan,LOC
1079,55,",",O
1080,56,Parma,LOC
1081,56,",",O
1082,56,and,O
1083,56,one,O
1084,56,or,O
1085,56,two,O
